course,term,D_or_F_perc
MAT-101,19/FA,0.058823529
MAT-101,20/FA,0.1
MAT-101,21/FA,0.066666667
MAT-101,22/FA,0.043478261
MAT-108,19/FA,0.1
MAT-108,20/FA,0.111111111
MAT-108,20/SP,0.054054054
MAT-108,21/FA,0.115384615
MAT-108,21/SP,0.0625
MAT-108,22/FA,0.018867925
MAT-108,22/SP,0.102564103
MAT-108,23/FA,0.03125
MAT-108,23/SP,0.01754386
MAT-108,24/FA,0.050632911
MAT-108,24/SP,0.013513514
MAT-113,19/FA,0.131313131
MAT-113,20/FA,0.095238095
MAT-113,20/SP,0.06
MAT-113,21/FA,0.11827957
MAT-113,21/SP,0.071428571
MAT-113,22/FA,0.063829787
MAT-113,22/SP,0.051282051
MAT-113,23/FA,0.171428571
MAT-113,23/SP,0.088888889
MAT-113,24/FA,0.2
MAT-113,24/SP,0.111111111
MAT-119,19/FA,0.102564103
MAT-119,20/FA,0.083333333
MAT-119,20/SP,0.056603774
MAT-119,21/FA,0.136986301
MAT-119,21/SP,0.077922078
MAT-119,22/FA,0.035087719
MAT-119,22/SP,0.074626866
MAT-119,23/FA,0.078125
MAT-119,23/SP,0.061538462
MAT-119,24/FA,0.092307692
MAT-119,24/SP,0.185185185
MAT-122,19/FA,0.031746032
MAT-122,20/FA,0.06
MAT-122,20/SP,0
MAT-122,21/FA,0.096153846
MAT-122,21/SP,0.043478261
MAT-122,22/FA,0.129032258
MAT-122,22/SP,0.038461538
MAT-122,23/FA,0.0625
MAT-122,23/SP,0.041666667
MAT-122,24/FA,0.085714286
MAT-122,24/SP,0
MAT-131,19/FA,0.111111111
MAT-131,20/FA,0.029411765
MAT-131,20/SP,0
MAT-131,21/FA,0.085714286
MAT-131,21/SP,0.166666667
MAT-131,22/FA,0.057142857
MAT-131,22/SP,0
MAT-131,23/FA,0
MAT-131,23/SP,0
MAT-131,24/FA,0
MAT-131,24/SP,0.1
