year,league,home_run_total
1973,AL,1552
1973,NL,1550
1974,AL,1369
1974,NL,1280
1975,AL,1465
1975,NL,1233
1976,AL,1122
1976,NL,1113
1977,AL,2013
1977,NL,1631
1978,AL,1680
1978,NL,1276
1979,AL,2006
1979,NL,1427
1980,AL,1844
1980,NL,1243
1981,AL,1062
1981,NL,719
1982,AL,2080
1982,NL,1299
1983,AL,1903
1983,NL,1398
1984,AL,1980
1984,NL,1278
1985,AL,2178
1985,NL,1424
1986,AL,2290
1986,NL,1523
1987,AL,2634
1987,NL,1824
1988,AL,1901
1988,NL,1279
1989,AL,1718
1989,NL,1365
1990,AL,1796
1990,NL,1521
1991,AL,1953
1991,NL,1430
1992,AL,1776
1992,NL,1262
1993,AL,2074
1993,NL,1956
1994,AL,1774
1994,NL,1532
1995,AL,2164
1995,NL,1917
