season,episode,title,viewers,imdb_rating,total_votes,air_date
1,1,Pilot,11.2,7.6,3706,3/24/2005
1,2,Diversity Day,6,8.3,3566,3/29/2005
1,3,Health Care,5.8,7.9,2983,4/5/2005
1,4,The Alliance,5.4,8.1,2886,4/12/2005
1,5,Basketball,5,8.4,3179,4/19/2005
1,6,Hot Girl,4.8,7.8,2852,4/26/2005
2,1,The Dundies,9,8.7,3213,9/20/2005
2,2,Sexual Harassment,7.13,8.2,2736,9/27/2005
2,3,Office Olympics,8.3,8.4,2742,10/4/2005
2,4,The Fire,7.6,8.4,2713,10/11/2005
2,5,Halloween,8,8.2,2561,10/18/2005
2,6,The Fight,7.9,8.2,2550,11/1/2005
2,7,The Client,7.5,8.6,2631,11/8/2005
2,8,Performance Review,8,8.2,2416,11/15/2005
2,9,E-Mail Surveillance,8.1,8.4,2527,11/22/2005
2,10,Christmas Party,9.7,8.8,2755,12/6/2005
2,11,Booze Cruise,8.7,8.6,2679,1/5/2006
2,12,The Injury,10.3,9,3282,1/12/2006
2,13,The Secret,8.7,8.3,2363,1/19/2006
2,14,The Carpet,8.6,7.9,2342,1/26/2006
2,15,Boys and Girls,9.21,8.2,2323,2/2/2006
2,16,Valentine's Day,8.95,8.3,2345,2/9/2006
2,17,Dwight's Speech,8.4,8.4,2463,3/2/2006
2,18,Take Your Daughter to Work Day,8.8,8.3,2415,3/16/2006
2,19,Michael's Birthday,7.8,8.1,2337,3/30/2006
2,20,Drug Testing,7.8,8.4,2397,4/27/2006
2,21,Conflict Resolution,7.4,8.7,2440,5/4/2006
2,22,Casino Night,7.6,9.3,3644,5/11/2006
3,1,Gay Witch Hunt,9.11,8.9,3087,9/21/2006
3,2,The Convention,7.78,8.2,2275,9/28/2006
3,3,The Coup,8.89,8.5,2388,10/5/2006
3,4,Grief Counseling,8.83,8,2311,10/12/2006
3,5,Initiation,8.46,8.2,2254,10/19/2006
3,6,Diwali,8.81,8,2320,11/2/2006
3,7,Branch Closing,8.05,8.5,2260,11/9/2006
3,8,The Merger,8.63,8.7,2376,11/16/2006
3,9,The Convict,9.07,8.2,2373,11/30/2006
3,10,A Benihana Christmas,8.44,8.7,2541,12/14/2006
3,11,Back from Vacation,8.8,8.5,2255,1/4/2007
3,12,Traveling Salesmen,10.12,8.6,2316,1/11/2007
3,13,The Return,10.2,8.8,2430,1/18/2007
3,14,Ben Franklin,10.11,8.2,2254,2/1/2007
3,15,Phyllis' Wedding,8.84,8.3,2283,2/8/2007
3,16,Business School,8.84,8.8,2622,2/15/2007
3,17,Cocktails,8.3,8.5,2264,2/22/2007
3,18,The Negotiation,6.74,8.9,2555,4/5/2007
3,19,Safety Training,7.71,8.8,2424,4/12/2007
3,20,Product Recall,7.56,8.7,2409,4/26/2007
3,21,Women's Appreciation,7,8.8,2403,5/3/2007
3,22,Beach Games,7.2,9.1,2783,5/10/2007
3,23,The Job,7.88,9.3,3010,5/17/2007
4,1,Fun Run,9.7,8.8,2826,9/27/2007
4,2,Dunder Mifflin Infinity,8.49,8.4,2248,10/4/2007
4,3,Launch Party,8.91,8.5,2173,10/11/2007
4,4,Money,8.5,8.7,2341,10/18/2007
4,5,Local Ad,8.98,8.8,2388,10/25/2007
4,6,Branch Wars,8.39,8.5,2185,11/1/2007
4,7,Survivor Man,8.29,8.3,2110,11/8/2007
4,8,The Deposition,8.86,8.7,2202,11/15/2007
4,9,Dinner Party,9.22,9.3,4095,4/10/2008
4,10,Chair Model,9.81,8.1,2095,4/17/2008
4,11,Night Out,7.56,8.7,2179,4/24/2008
4,12,Did I Stutter?,7.67,8.4,2087,5/1/2008
4,13,Job Fair,7.22,7.9,1977,5/8/2008
4,14,"Goodbye, Toby",8.07,9.3,3010,5/15/2008
5,1,Weight Loss,9.2,8.8,2501,9/25/2008
5,2,Business Ethics,8.99,8.3,1990,10/9/2008
5,3,Baby Shower,8.07,8.1,1954,10/16/2008
5,4,Crime Aid,7.74,8.1,1884,10/23/2008
5,5,Employee Transfer,9.32,8.1,1962,10/30/2008
5,6,Customer Survey,8.35,8.5,2018,11/6/2008
5,7,Business Trip,8.18,8.2,1867,11/13/2008
5,8,Frame Toby,8.4,8.6,2089,11/20/2008
5,9,The Surplus,8.33,8.7,2070,12/4/2008
5,10,Moroccan Christmas,8.79,8.4,1951,12/11/2008
5,11,The Duel,8.5,8.7,2011,1/15/2009
5,12,Prince Family Paper,8.74,8.1,1954,1/22/2009
5,13,Stress Relief,22.91,9.6,5948,2/1/2009
5,14,Lecture Circuit: Part 1,8.39,8.2,1838,2/5/2009
5,15,Lecture Circuit: Part 2,8.89,8.2,1808,2/12/2009
5,16,Blood Drive,8.63,8.1,1847,3/5/2009
5,17,Golden Ticket,7.51,8.7,1987,3/12/2009
5,18,New Boss,7.95,8.3,1875,3/19/2009
5,19,Two Weeks,8.45,8.4,1864,3/26/2009
5,20,Dream Team,7.2,8.3,1863,4/9/2009
5,21,Michael Scott Paper Company,7.94,8.7,2032,4/9/2009
5,22,Heavy Competition,8.24,8.7,1913,4/16/2009
5,23,Broke,7.21,9.1,2509,4/23/2009
5,24,Casual Friday,7.31,8.3,1845,4/30/2009
5,25,Cafe Disco,7.71,8.7,2107,5/7/2009
5,26,Company Picnic,6.72,8.9,2232,5/14/2009
6,1,Gossip,8.2,8.7,2127,9/17/2009
6,2,The Meeting,7.33,8.2,1755,9/24/2009
6,3,The Promotion,7.28,8,1751,10/1/2009
6,4,Niagara: Part 1,9.42,9.3,3579,10/8/2009
6,5,Mafia,8.1,7.7,1829,10/15/2009
6,6,The Lover,8.52,8.6,1917,10/22/2009
6,7,Koi Pond,8.2,8.2,1739,10/29/2009
6,8,Double Date,7.94,8.2,1709,11/5/2009
6,9,Murder,7.76,8.6,2016,11/12/2009
6,10,Shareholder Meeting,7.43,8.2,1726,11/19/2009
6,11,Scott's Tots,8.1,8.3,1981,12/3/2009
