airport code,time zone
AAA,Hawaiian Standard Time
AAB,E. Australia Standard Time
AAC,Egypt Standard Time
AAD,E. Africa Standard Time
AAE,W. Central Africa Standard Time
AAF,Eastern Standard Time
AAG,E. South America Standard Time
AAH,W. Europe Standard Time
AAI,Tocantins Standard Time
AAJ,SA Eastern Standard Time
AAK,UTC+12
AAL,Romance Standard Time
AAM,South Africa Standard Time
AAN,Arabian Standard Time
AAO,Venezuela Standard Time
AAP,Singapore Standard Time
AAQ,Russian Standard Time
AAR,Romance Standard Time
AAS,Tokyo Standard Time
AAT,China Standard Time
AAU,Samoa Standard Time
AAV,Singapore Standard Time
AAX,E. South America Standard Time
AAY,Arab Standard Time
AAZ,Central America Standard Time
ABA,North Asia Standard Time
ABB,W. Central Africa Standard Time
ABC,Romance Standard Time
ABD,Iran Standard Time
ABE,Eastern Standard Time
ABF,UTC+12
ABG,E. Australia Standard Time
ABH,E. Australia Standard Time
ABI,Central Standard Time
ABJ,Greenwich Standard Time
ABK,E. Africa Standard Time
ABL,Alaskan Standard Time
ABM,E. Australia Standard Time
ABN,SA Eastern Standard Time
ABO,Greenwich Standard Time
ABP,West Pacific Standard Time
ABQ,Mountain Standard Time
ABR,Central Standard Time
ABS,Egypt Standard Time
ABT,Arab Standard Time
ABU,Singapore Standard Time
ABV,W. Central Africa Standard Time
ABX,AUS Eastern Standard Time
ABY,Eastern Standard Time
ABZ,GMT Standard Time
ACA,Central Standard Time (Mexico)
ACB,Eastern Standard Time
ACC,Greenwich Standard Time
ACD,SA Pacific Standard Time
ACE,GMT Standard Time
ACF,China Standard Time
ACH,W. Europe Standard Time
ACI,GMT Standard Time
ACJ,Sri Lanka Standard Time
ACK,Eastern Standard Time
ACM,SA Pacific Standard Time
ACN,Central Standard Time
ACP,Iran Standard Time
ACR,SA Pacific Standard Time
ACS,North Asia Standard Time
ACT,Central Standard Time
ACU,SA Pacific Standard Time
ACV,Pacific Standard Time
ACX,China Standard Time
ACY,Eastern Standard Time
ACZ,Iran Standard Time
ADA,Turkey Standard Time
ADB,Turkey Standard Time
ADC,West Pacific Standard Time
ADD,E. Africa Standard Time
ADE,Arab Standard Time
ADF,Turkey Standard Time
ADG,Eastern Standard Time
ADH,Yakutsk Standard Time
ADI,Namibia Standard Time
ADJ,Jordan Standard Time
ADK,Aleutian Standard Time
ADL,Cen. Australia Standard Time
ADM,Central Standard Time
ADO,Cen. Australia Standard Time
ADP,Sri Lanka Standard Time
ADQ,Alaskan Standard Time
ADR,Eastern Standard Time
ADS,Central Standard Time
ADT,Central Standard Time
ADU,Iran Standard Time
ADV,Sudan Standard Time
ADW,Eastern Standard Time
ADX,GMT Standard Time
ADY,South Africa Standard Time
ADZ,SA Pacific Standard Time
AEA,UTC+12
AEB,China Standard Time
AEE,South Sudan Standard Time
AEG,SE Asia Standard Time
AEH,W. Central Africa Standard Time
AEK,West Pacific Standard Time
AEL,Central Standard Time
AEM,Vladivostok Standard Time
AEO,Greenwich Standard Time
AEP,Argentina Standard Time
AEQ,China Standard Time
AER,Russian Standard Time
AES,W. Europe Standard Time
AET,Alaskan Standard Time
AEU,Iran Standard Time
AEX,Central Standard Time
AEY,Greenwich Standard Time
AFA,Argentina Standard Time
AFD,South Africa Standard Time
AFF,Mountain Standard Time
